Agency,Address,Contact,Phone,Counties,Sectors
Muskogee County Health Department,"530 S. 34th St Muskogee, OK 74401",D'Elbie Walker,918-683-0321,Muskogee,All
Norman Regional Health Systems,"226 W. Gray Street, Suite 203 Norman, OK  73069",Sara Raney,405-912-3581,Cleveland,All
Norman Regional Health Systems,"205 Chickasha Ave, Ste. 2 Chickasha, OK 73018",Paula Price,405-307-1056,Grady,All
Norman Regional Health Systems,"302 W. Main Street, Ste. 105 Purcell, OK  73080",Clint Miller,405-527-4511,McClain,All
Northeastern Tribal Health Systems,"7600 S. Highway 69A Miami, OK 74354","Johnny ""Tink"" Smith",918-332-4331,Ottawa,All
Northwest Family Services,"620 Flynn Street Alva, OK  73717",Yolanda Creswell,580-327-2900,"Major, Woods, Alfalfa",All
Nowata CAN,"P.O. Box 303 Nowata, OK 74048",Bryn Barron,918-645-4236,Nowata,All
Oklahoma City-County Health Department,"2600 NE 63rd Street Oklahoma City, OK  73111",Michelle Terronez,405-425-4498,Oklahoma,"Businesses, Schools, Cities"
Okmulgee County Health Department,"1304 R.D. Miller Dr. Okmulgee, OK 74447",Jennifer Avery,918-756-1883 ext 138,Okmulgee,All
OSU Seratean Center,"124 W. 4th Street Bristow, OK 74010",Pam Norman,405-744-5511,Creek,All
OSU Seratean Center,"4806 N. Perkins Rd., 2nd Floor Stillwater, OK  74075",Pam Norman,405-744-5511,Payne,All
OSU Seratean Center,,Pam Norman,405-744-5511,Kay,All
People Inc.,"205 S. J. T. Stites Sallisaw, OK 74955",Miriam 'Tricia' Wall,918-315-1139,Sequoyah,All
Pittsburg County Health Department,"1400 E. College Ave McAlester, OK 74501",Karlita Lott,918-426-7346,Pittsburg,All
Pontotoc County Health Department,"2330 Arlington Ada, OK 74820",Angela Harjo,580-332-2011 ext 118,Pontotoc,All
Pushmataha County Health Department,"318 W. Main Antlers, OK 74523",Dana Dunlap,580-298-6624,Pushmataha,All
ROCMND,"P.O Box 912 Vinita, OK  74301",Terri Holland,918-256-7518,Craig,All
ROCMND,"10403 Hwy 59 North Grove, OK  74344",Melissa Tye,918-787-2104,Delaware,All
Rogers County Volunteers for Youth,"1700 S. Lynn Riggs Blvd., Ste. A Claremore, OK 74017",Mendy Stone,918-343-2530,Rogers,All
Southwest Oklahoma Community Action Group,"P.O. Box 1088 Altus, OK 73522",Nathan McGee,580-482-1290,"Greer, Harmon, Tillman, Jackson",All
Texas County Health Department,"1410 N. East St. Guymon, OK 73942",Kayla McCarter,580-338-8544,Texas,All
Tulsa County Health Department,"5625 Martin Luther King Jr Blvd Tulsa, OK 74126",Vanessa Hall-Harper,918-595-4226,Tulsa,All
Wagoner County Health Department,"212 N. Pierce Ave Wagoner, OK 74467",Johnna Sure Blair,918-485-3022,Wagoner,All
Woodward County Health Department,"1631 Texas Ave. Woodward, OK 73801",Terri Salisbury,580-256-6416,Woodward,All
